Transposible Element name_S2,Transposible Element name_S1,asdasdasd
ISAba1,ISAba1,
IS91,,
IS882,IS882,
IS6100,,
IS51,,
IS5075,IS5075,
IS5,IS5,
IS30,IS30,
IS2,,
IS150,,
IS1404A,,
IS1403,,
IS1326_IS1353_ISEc37,IS1326_IS1353_ISEc37,
IS1326_IS1353,IS1326_IS1353,
IS1326,IS1326,
IS1251,,
IS1133_Tn10_IS903B,IS1133_Tn10_IS903B,
IS1133_p,IS1133_p,
IS1133,IS1133,
InS21,InS21,
In992,In992,
In893,,
In73,In73,
In7,In7,
In60,,
In6_p,In6_p,
In58,,
In53,In53,
In450,In450,
In4,,
In39,In39,
In38,,
In37,In37,
In36,In36,
In34,In34,
In33,In33,
In32,In32,
In31,In31,
In28,In28,
In22,,
In21,In21,
In2,In2,
In1223,In1223,
In1187,,
In1,In1,
In0,In0,
In_TnCfrpOZ172,In_TnCfrpOZ172,
In_TnAs3,In_TnAs3,
In_Tn7Mmo,In_Tn7Mmo,
In_Tn7,In_Tn7,
In_Tn6025,,
In_Tn5045,In_Tn5045,
In_Tn4,In_Tn4,
In_Tn21,In_Tn21,
In_Tn1935,In_Tn1935,
In_Tn1721,,
In_pYMG-8,In_pYMG-8,
In_pC52_003,In_pC52_003,
aj417,,
