TnYps3,TnYps3,Tn3
TnXorYNA12,TnXorYNA12,Tn402
TnXo19,TnXo19,Tn3
TnXO1,TnXO1,Tn3
TnXcTxp2,TnXcTxp2,Compound Transposon
TnXca1,TnXca1,Tn3
TnXc5,TnXc5,Tn3
TnXc4,TnXc4,Tn3
TnXax1,TnXax1,Tn3
TnXaj417,TnXaj417,Tn3
TnTsp1,TnTsp1,Tn3
TnTin1,TnTin1,Tn3
TnThsp9,TnThsp9,Tn3
TnTF5,TnTF5,Tn3
TnSsu5,TnSsu5,Compound Transposon
TnSs1,TnSs1,Compound Transposon
TnSpu1,TnSpu1,Tn3
TnSod9,,Tn3
TnSmeSM11a-1,TnSmeSM11a-1,Tn3
TnSku1,TnSku1,Tn3
TnShfr1,TnShfr1,Tn3
TnShes11,TnShes11,Tn3
TnSgr,TnSgr,Tn3
TnSen1,TnSen1,
TnSba14,,Tn3
TnSau9,TnSau9,Compound Transposon
TnpTB11,TnpTB11,Tn402
TnPsy42,TnPsy42,Tn3
TnPsy39,TnPsy39,Tn3
TnPsy30,TnPsy30,Tn3
TnpRSB105,,Tn402
TnpPGH1,TnpPGH1,Tn3
TnPMLUA4,TnPMLUA4,Compound Transposon
TnpHS87a,,Tn402
TnPfu1,TnPfu1,Tn402
TnpFL424_ISPa,TnpFL424_ISPa,Compound Transposon
TnpCTXM9,TnpCTXM9,Tn3
TnpABMCR4,TnpABMCR4,
TnPa43,TnPa43,Tn3
TnPa42,TnPa42,Tn3
TnPa40,TnPa40,Tn3
TnPa38,TnPa38,Tn3
TnOtChr,TnOtChr,Tn3
TnNpu13,TnNpu13,Tn3
TnMpo10,TnMpo10,Tn3
TnMex38,,Tn3
TnMex22,,Tn3
TnMERI1_p,TnMERI1_p,
TnMefl,TnMefl,Tn3
TnMCR5ECO26H11,TnMCR5ECO26H11,Tn3
TnLfArs,TnLfArs,Tn3
TnEcpKP37BE,TnEcpKP37BE,
TnEcO26,TnEcO26,Tn3
TnChe1,,Tn3
TnCfrpOZ172,TnCfrpOZ172,Tn3
TnBth4,TnBth4,Tn3
TnBth3,TnBth3,Tn3
TnBth2,TnBth2,Tn3
TnAtcArs,TnAtcArs,Tn3
TnAsz17,TnAsz17,Tn3
TnAs3,TnAs3,Tn3
TnAs2,TnAs2,Tn3
TnAs1,TnAs1,Tn3
TnArsp6,TnArsp6,Tn3
TnArs1,TnArs1,Tn3
TnAnox1,TnAnox1,Tn3
TnAmu1,TnAmu1,Tn3
TnAli20,TnAli20,Tn3
TnAfe8687,TnAfe8687,Tn3
TnAbMCR4,TnAbMCR4,
TnAau4,TnAau4,Tn3
Tn7Mmo,Tn7Mmo,Tn7
Tn7CVpa1,Tn7CVpa1,Tn7
Tn7CVna1,Tn7CVna1,Tn7
Tn7251,Tn7251,Compound transposon
Tn7250,,Compound transposon
Tn7249,Tn7249,Compound transposon
Tn7248,Tn7248,Tn3
Tn7247,Tn7247,Tn3
Tn7246,Tn7246,Compound
Tn7245,Tn7245,&nbsp;
Tn7244,Tn7244,&nbsp;
Tn7243,Tn7243,Tn7
Tn7242,Tn7242,Compound
Tn7241,Tn7241,Compound transposon
Tn7240,Tn7240,Tn7
Tn7239,Tn7239,Tn3
Tn7017,,Tn402
Tn7,Tn7,Tn7
Tn6924,Tn6924,Tn7
Tn6866,Tn6866,Compound transposon
Tn68232,Tn68232,Tn554
Tn6674,Tn6674,Tn554
Tn6644,Tn6644,Compound
Tn6454,Tn6454,Tn3
Tn6375,Tn6375,Tn3
Tn6369,Tn6369,Tn3
Tn6352,,Tn402
Tn6346,Tn6346,Tn3
Tn6339,Tn6339,Tn3
Tn6332,Tn6332,Tn3
Tn6330,Tn6330,Compound Transposon
Tn6294,Tn6294,Tn3
Tn6260,Tn6260,Tn554
Tn6246,Tn6246,Compound Transposon
Tn6238,Tn6238,Tn3
Tn6203,Tn6203,Tn3
Tn6188,Tn6188,Tn554
Tn6138,,Tn3
Tn6137,,Tn3
Tn6136,Tn6136,Tn3
Tn6135,Tn6135,Tn3
Tn6134,Tn6134,Tn3
Tn6133,Tn6133,Tn554
Tn6122,Tn6122,Tn3
Tn6112,,Tn402
Tn6025,Tn6025,Tn3
Tn6010,Tn6010,Compound
Tn6008,Tn6008,Tn402
Tn6007,Tn6007,Tn402
Tn6006,Tn6006,Tn402
Tn6005,Tn6005,Tn3
Tn6001_p,Tn6001_p,Tn3
Tn5720,Tn5720,Tn3
Tn5719,Tn5719,Tn3
Tn5718,Tn5718,Tn402
Tn559,Tn559,Tn554
Tn558,Tn558,Tn554
Tn5563a,Tn5563a,Tn3
Tn554Cad,Tn554Cad,Tn554
Tn5541,Tn5541,Tn5469
Tn554,Tn554,Tn554
Tn551,Tn551,Tn3
Tn5504,Tn5504,Tn3
Tn5501,Tn5501,Tn3
Tn5469,Tn5469,Tn5469
Tn5422,Tn5422,Tn3
Tn5406,Tn5406,Tn554
Tn5403a,,Tn3
Tn5403,,Tn3
Tn5401,Tn5401,Tn3
Tn5393c,Tn5393c,Tn3
Tn5393,Tn5393,Tn3
Tn512,Tn512,Tn402
Tn511,Tn511,Tn3
Tn5090,Tn5090,Tn402
Tn5086,Tn5086,Tn3
Tn5084,Tn5084,Tn3
Tn5070,Tn5070,Tn3
Tn5060,Tn5060,Tn3
Tn50580,Tn50580,Tn402
Tn5058,Tn5058,Tn402
Tn5053,Tn5053,Tn402
Tn5046,Tn5046,Tn3
