In_TnCfrpOZ172,In_TnCfrpOZ172,Tn402
In_TnAs3,In_TnAs3,Tn402
In_Tn7Mmo,In_Tn7Mmo,Integron
In_Tn7,In_Tn7,Integron
In_Tn6025,,Tn402
In_Tn5045,In_Tn5045,Tn402
In_Tn4,In_Tn4,Tn402
In_Tn21,In_Tn21,
In_Tn1935,In_Tn1935,Tn402
In_Tn1721,,
In_pYMG-8,In_pYMG-8,Tn402
In_pC52_003,In_pC52_003,Tn402
aj417,,
